adm4_en,average_tradeoff_rate,average_circuity,average_relative_discomfort,adm4_pcode
Addition Hills,0.18087007611369,1.9755928233071436,0.6296314574215768,PH137401001
Mabini-J. Rizal,,1.411645475655098,0.7748346062160931,PH137401015
Vergara,0.17326078404461084,3.1858981907458186,0.7831031918858585,PH137401026
San Jose,0.4307209929065304,1.1255473550164607,0.6509906597902552,PH137401025
Poblacion,0.17110475887201537,1.8284010126301213,0.6422865942725136,PH137401024
Pleasant Hills,0.40160764543089417,1.4771766890768656,0.6710378603525763,PH137401023
Plainview,0.3433603462444792,1.5827426002922635,0.5098448505029265,PH137401022
Pag-asa,0.6210817409661819,1.543569033580798,0.66681030731921,PH137401021
Old Zañiga,0.2512158255071393,1.4828152121582812,0.7103815056618571,PH137401020
New Zañiga,0.3270991359245837,1.7644337602292866,0.48616794744740727,PH137401019
Namayan,0.11874534695831268,1.5193327027468846,0.7776457388788904,PH137401018
Mauway,0.3210787874993215,1.494108307469673,0.6026990086656552,PH137401017
Malamig,0.32919159872076476,1.6633106725659401,0.4859542756654791,PH137401016
Hulo,0.13464479866298454,1.8786643229108453,0.5278187885328826,PH137401014
Bagong Silang,0.8327256569711746,1.5583404900782805,0.5066080393959566,PH137401002
Highway Hills,0.10277131840569988,1.7743229168929981,0.6108537657920057,PH137401013
Harapin Ang Bukas,0.6360266122552732,1.8156976252200003,0.584377195596745,PH137401012
Hagdang Bato Libis,0.34444085809764574,1.6465132413880612,0.5727796582874274,PH137401011
Hagdang Bato Itaas,0.09419787175663157,1.9801427194870487,0.7158253314131319,PH137401010
Daang Bakal,0.6009589802655305,1.5161996600494634,0.48161284247321856,PH137401009
Burol,,1.3665731186177874,0.7047345105222872,PH137401007
Buayang Bato,0.01583622877057613,1.2607414183757675,0.822884749358138,PH137401008
Barangka Itaas,0.1279441463980096,1.8763590249270305,0.7153218335906415,PH137401006
Barangka Ilaya,0.7622897443606419,1.556581918184814,0.6420148519879283,PH137401005
Barangka Ibaba,,1.2955222612695125,0.7182134337427772,PH137401004
Barangka Drive,0.8028642190171578,1.6009037596558655,0.4436999476740824,PH137401003
Wack-wack Greenhills,0.03504959907723724,2.4651615765819925,0.5966705132118866,PH137401027
